Degree, stddev
1, 0.0
21, 0.0004784948529748025
16, 0.0004549880269423126
9, 0.00030227954696448827
17, 0.0004274049500142852
7, 0.00026610439020633786
6, 0.0002519469098670648
8, 0.000289706957404704
15, 0.0003151840375224344
12, 0.0003811823774538189
20, 0.0006900474291280022
4, 0.00021558446442425022
29, 0.0007706696152222039
2, 0.00012307432293991654
5, 0.00023175269894957625
14, 0.00046306035043378415
11, 0.0003612509341308385
3, 0.0001586263344564093
35, 0.0010898267106606361
31, 0.0006025606195699572
10, 0.00034426154978239024
23, 0.0004940130567374612
74, 0.0
28, 0.0007558838766528324
22, 0.0005671003480192149
18, 0.0004003908791881872
64, 0.0003320270490720444
48, 0.0016149904357713857
27, 0.0007932197458861634
65, 0.000682240168150599
30, 0.0008727117711289039
13, 0.00035207376954809376
19, 0.0004631440344899505
40, 0.00039597871677408996
26, 0.0006029397052517943
24, 0.00043596917559582805
39, 0.0011951444154746076
25, 0.0004592503939810037
43, 0.0009196276663730187
197, 0.0
61, 0.0
70, 0.0
57, 0.0005788125167311435
42, 0.0011402932581826392
36, 0.0008973400210507909
38, 0.0007697221636231689
34, 0.0003946557792069752
73, 0.0
51, 5.8483692016235104e-06
109, 0.0
33, 0.0006109729682423304
115, 0.0016547642644994193
67, 0.0
55, 0.00041111557750473136
68, 0.0
282, 0.0
60, 0.00021268511905857856
32, 0.0005841257303737288
50, 0.0
47, 0.0004682675582989802
87, 0.0
46, 0.0
71, 0.0
56, 0.0
54, 0.0
95, 0.001262958011686955
58, 0.0
41, 0.0
37, 0.0016783499931918053
107, 0.0
66, 0.0
147, 0.0
125, 0.0
79, 0.0
59, 0.0
45, 0.0
