Degree, Count
282, 1
197, 1
147, 1
125, 1
115, 2
109, 1
107, 1
95, 2
87, 1
79, 1
74, 1
73, 1
71, 1
70, 1
68, 1
67, 1
66, 1
65, 3
64, 2
61, 1
60, 2
59, 1
58, 1
57, 5
56, 1
55, 3
54, 1
51, 2
50, 1
48, 4
47, 2
46, 1
45, 1
43, 4
42, 5
41, 1
40, 3
39, 6
38, 5
37, 2
36, 7
35, 9
34, 4
33, 8
32, 5
31, 16
30, 12
29, 10
28, 10
27, 11
26, 16
25, 17
24, 10
23, 12
22, 33
21, 23
20, 35
19, 38
18, 39
17, 42
16, 46
15, 48
14, 61
13, 54
12, 56
11, 62
10, 114
9, 112
8, 148
7, 153
6, 209
5, 297
4, 384
3, 532
2, 793
1, 1251
